question_cleaned,department_target,message_uid,question_original,department_original,is_short_question
сметка за ремонт и обновяване,Пазар Ежедневно банкиране,274a57f8-6109-48ba-814c-6d7a7a6cd23d,сметка за ремонт и обновяване ,Пазар Ежедневно банкиране,False
колко нотификации изпращаме при изтекла лична карта,Пазар Ежедневно банкиране,64e5f9ad-59d6-4a3f-ae11-2ab8610b15ee,колко нотификации изпращаме при изтекла лична карта,Пазар Ежедневно банкиране,False
"здравейте,какъв е процента на финансиране поккупка на гараж",Пазар Жилищни и ипотечни кредити,475177a7-5835-43f2-b77f-5691b1aa4d06,"Здравейте,какъв е процента на финансиране поккупка на гараж",Пазар Жилищни и ипотечни кредити,False
за кои клиенти се изисква оформена и подписана декларация по допк,Пазар Ежедневно банкиране,94669f02-f653-4b54-908f-c6c00687c70f,за кои клиенти се изисква оформена и подписана декларация по допк,Пазар Ежедневно банкиране,False
може ли по сметка в евро да се подпише план ?,Пазар Ежедневно банкиране,a9a8090f-8af2-49f0-966e-603dc82633f4,може ли по сметка в евро да се подпише план ?,Пазар Ежедневно банкиране,False
къде мога да намеря продуктова карта по целеви жилищен кредит за строителство,Пазар Жилищни и ипотечни кредити,d3163677-196e-4a35-8862-0b278adb40d2,къде мога да намеря продуктова карта по целеви жилищен кредит за строителство,Пазар Жилищни и ипотечни кредити,False
колко пари струва смс известие за клиента,Други,ec607c03-5c51-4f06-825b-accd7a22cf5d,колко пари струва смс известие за клиента,Други,False
как по успешо да се преложи на клиент смисъл за теб,Пазар Банково застраховане,05468abf-e85f-47a8-9520-0d5df080d57f,как по успешо да се преложи на клиент смисъл за теб,Пазар Банково застраховане,False
"какво включва промо оферта: за нови клиенти, които открият сметка онлайн в периода от 20.01.2025 г. до 31.03.2025 г., месечната такса е 15 лв. вместо 22 лв. - за колко време е валидна",Пазар Малък бизнес,79b4b9af-19d1-4a99-9157-eba742311122,"какво включва Промо оферта: За нови клиенти, които открият сметка онлайн в периода от 20.01.2025 г. до 31.03.2025 г., месечната такса е 15 лв. вместо 22 лв. - за колко време е валидна",Пазар Малък бизнес,False
"от къде мога да пусна заявка , че немога да архивирам досие на кредитна карта",Други,558b9db0-8a53-45cd-abfe-22b2db2b1643,"от къде мога да пусна заявка , че немога да архивирам досие на кредитна карта",Други,False
разплащателна сметка с план,Пазар Ежедневно банкиране,6a0dcc0c-7b5d-4991-9473-2b7b190948ec,разплащателна сметка с план,Пазар Ежедневно банкиране,False
документи на чуждестранни граждани,Пазар Ежедневно банкиране,1a139599-a519-4e17-83d8-633dcbc30b27,документи на чуждестранни граждани,Пазар Ежедневно банкиране,False
"дължи ли се такса при целево външно рефинансиране на ипотечен кредит, заедно с вътрешно рефинансиране на ктп в банка дск",Пазар Потребителско кредитиране,f8a9d3e7-903a-4669-94d3-4b69cd403e5b,"Дължи ли се такса при целево външно рефинансиране на ипотечен кредит, заедно с вътрешно рефинансиране на КТП в Банка ДСК",Пазар Потребителско кредитиране,False
план за младежи,Пазар Ежедневно банкиране,24e22565-529e-40dc-91b5-7ee2fd35700f,план за младежи,Пазар Ежедневно банкиране,False
откъде се зареждат данните за доход на клиента при излъчване на кредит през los,Пазар Потребителско кредитиране,bb3d9c22-b7ac-45e6-8cc3-a45dbb308b48,откъде се зареждат данните за доход на клиента при излъчване на кредит през LOS,Пазар Потребителско кредитиране,False
бест билдинг включен ли е в списъка,Други,0132f139-9bde-4aa5-9820-345c838f5c3d,Бест Билдинг включен ли е в списъка,Други,False
необходими документи при откриване на сметка на лица от трети страни,Пазар Ежедневно банкиране,9e4406fa-dadc-4b09-be6b-4f6c6e221dbb,Необходими документи при откриване на сметка на лица от трети страни,Пазар Ежедневно банкиране,False
може ли продуктова карта за ипотечен кредит за строителство,Пазар Жилищни и ипотечни кредити,ec2568a9-8400-47c1-84e6-fb675967e6b9,може ли продуктова карта за ипотечен кредит за строителство,Пазар Жилищни и ипотечни кредити,False
при сключване на план и двете дебитни карти към сметката ли стават тип на плана?,Пазар Ежедневно банкиране,8b81c929-85b3-451c-9849-d23748a36fb4,ПРИ СКЛЮЧВАНЕ НА ПЛАН И ДВЕТЕ ДЕБИТНИ КАРТИ КЪМ СМЕТКАТА ЛИ СТАВАТ ТИП НА ПЛАНА?,Пазар Ежедневно банкиране,False
лимит дск мобайл преводи,Пазар Ежедневно банкиране,1c28f7ad-558f-4be2-8101-8e4b7aaa9894,лимит дск мобайл преводи ,Пазар Ежедневно банкиране,False
какво преставлява инвестиция,Пазар Спестяване и инвестиции,20aeca21-d19c-4cc2-8c39-15ad764bc20d,Какво преставлява инвестиция,Пазар Спестяване и инвестиции,False
каква е таксата за изходящ валутен превод към австрия в размер на 350000евро,Пазар Ежедневно банкиране,dbdc401f-3da0-4aa0-80f0-f305e1fcb0ac,каква е таксата за изходящ валутен превод към Австрия в размер на 350000евро,Пазар Ежедневно банкиране,False
каква е таксата за теглене от банкомат,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,0dfba72e-36f6-408f-8d98-8772d884e881,каква е таксата за теглене от банкомат,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,False
може ли да се открие еврова сметка през dsk mobail,Пазар Ежедневно банкиране,837bfaf2-7f16-4b4e-990f-9a3982aee892,Може ли да се открие еврова сметка през dsk mobail,Пазар Ежедневно банкиране,False
физическо лице купува имот на името на фирма,Пазар Жилищни и ипотечни кредити,a13ad46c-c8e9-47c3-9620-ea4a7244f654,физическо лице купува имот на името на фирма,Пазар Жилищни и ипотечни кредити,False
провери в тарифата на банката,Пазар Ежедневно банкиране,f952ca92-e4a5-4480-8c30-a7802ef6776c,провери в тарифата на Банката,Пазар Ежедневно банкиране,False
"а къде пиша, че клиентът е насочен от външен партньор и в кой документ е посочено тов",Пазар Жилищни и ипотечни кредити,82a86b69-db86-4567-b373-91a9795314aa,"а къде пиша, че клиентът е насочен от външен партньор и в кой документ е посочено тов",Пазар Жилищни и ипотечни кредити,False
какво е финансирането за ипотечен кредит за покупка когато няма сключен договор с инвеститора,Пазар Жилищни и ипотечни кредити,d947a164-3368-4d98-9995-56f1ce65d17e,какво е финансирането за ипотечен кредит за покупка когато няма сключен договор с инвеститора,Пазар Жилищни и ипотечни кредити,False
такса за откриване на сметка,Пазар Ежедневно банкиране,e1e2a6ac-23b5-463c-a19c-80b5b8e66577,такса за откриване на сметка,Пазар Ежедневно банкиране,False
мога ли да открия еврова спестовна компонента,Пазар Ежедневно банкиране,b6a915c6-6ae9-4334-8182-2b66dd8df9ea,мога ли да открия еврова спестовна компонента,Пазар Ежедневно банкиране,False
лимити при дск тийн,Пазар Ежедневно банкиране,9aa48a75-94ac-4e2d-a818-9643aefa9168,ЛИМИТИ ПРИ ДСК ТИЙН,Пазар Ежедневно банкиране,False
колко е таксата за предоговарне на условия по жик?,Пазар Жилищни и ипотечни кредити,e288aa0b-424c-47bb-a207-b3edab63dea8,Колко е таксата за предоговарне на условия по ЖИК?,Пазар Жилищни и ипотечни кредити,False
колко е таксата за вноска на каса на физическо лице,Пазар Ежедневно банкиране,439557f2-1353-40db-9838-10741b829815,колко е таксата за вноска на каса на физическо лице,Пазар Ежедневно банкиране,False
какво е ltv с доходи от чужбина,Пазар Жилищни и ипотечни кредити,b1673235-a973-4b23-b103-ea23a5824592,какво е LTV с доходи от чужбина,Пазар Жилищни и ипотечни кредити,False
"клиент христо стоев на 15.10.2024г. е закупил със собствени средства недвижим имот магазин в гр. софия за сумата 155 000евро. г-н стоев се интересува от ипотечен кредит за възстановяване на средствата за направената покупка, като за обезпечване на кредита предлага своя жилищен имот в гр. софия, представляващ завършен апартамент. мога ли да предложа на клиента целеви ипотечен кредит за възстановяване на средствата от направената покупка 155 000евро - 10% = 139 500евро с достатъчност на обезпечение жилищен имот?",Пазар Жилищни и ипотечни кредити,618924ce-da1d-4d09-95df-6024f08981f6,"Клиент Христо Стоев на 15.10.2024г. е закупил със собствени средства недвижим имот Магазин в гр. София за сумата 155 000евро. Г-н Стоев се интересува от ипотечен кредит за възстановяване на средствата за направената покупка, като за обезпечване на кредита предлага своя жилищен имот в гр. София, представляващ завършен апартамент. 
Мога ли да предложа на клиента целеви ипотечен кредит за възстановяване на средствата от направената покупка 155 000евро - 10% = 139 500евро с достатъчност на  обезпечение жилищен имот?
",Пазар Жилищни и ипотечни кредити,False
план пенсия има ли безплатно теглене на друг банкомат?,Пазар Ежедневно банкиране,8cfd449f-7961-4ee7-8cd3-5ccfd58cb97b,План пенсия има ли безплатно теглене на друг банкомат?,Пазар Ежедневно банкиране,False
софия град,Други,f42c9095-3ce8-4b9e-8971-d6f8c22c583b,софия град,Други,False
при откриване на сметка на гражданин от кипър необходим ли ни е паспорт,Пазар Ежедневно банкиране,29121367-01c9-430f-b05f-a0cb8cd75434,при откриване на сметка на гражданин от кипър необходим ли ни е паспорт,Пазар Ежедневно банкиране,False
как се изплащат пенсиите от упф родина ?,Пазар Спестяване и инвестиции,88e079ff-863e-42c4-9014-5d91b8c125d2,Как се изплащат пенсиите от УПФ Родина ?,Пазар Спестяване и инвестиции,False
до каква сума може да тегле клиент с план премиум без такса в банката,Пазар Ежедневно банкиране,be756585-2aef-4ba8-a5c4-beda4786b0b3,до каква сума може да тегле клиент с план премиум без такса  в банката ,Пазар Ежедневно банкиране,False
а в коя сметка се внасят,Други,4469d1d2-c3cb-4cc9-a17c-9e3cad6f5831,а в коя сметка се внасят,Други,False
дължи ли се такса за вноска на каса по сметка дск тийн от непълнолетно лице,Пазар Ежедневно банкиране,f1f2baa6-5265-4831-a2dc-3b58c6f5663a,Дължи ли се такса за вноска на каса по сметка дск тийн от непълнолетно лице,Пазар Ежедневно банкиране,False
къде да създам статичен пин за интернет плащания в дск директ,Пазар Ежедневно банкиране,4a7dc628-028b-4648-86cb-1563a6804735,КЪДЕ ДА СЪЗДАМ СТАТИЧЕН ПИН ЗА ИНТЕРНЕТ ПЛАЩАНИЯ В ДСК ДИРЕКТ,Пазар Ежедневно банкиране,False
дск тийн има ли такса за откриване,Пазар Ежедневно банкиране,fa0480b1-9c60-4a87-8e17-4125fdf03e23,дск тийн има ли такса за откриване,Пазар Ежедневно банкиране,False
"от кога влизат в сила безплатните картови операции, включени в план за заплата ?",Пазар Ежедневно банкиране,fef3ddb5-73d6-4add-ab04-d55c1e1d215a,"От кога влизат в сила безплатните картови операции, включени в план за заплата ?",Пазар Ежедневно банкиране,False
със кои букви започва регистрацията,Други,82b31dac-63e3-421b-b061-2f17116344b8,със кои букви започва регистрацията,Други,False
какви са условията по пакет без ограничения,Пазар Ежедневно банкиране,ea090b9a-73ed-4471-bf01-7ce84bcab8f1,какви са условията по пакет Без ограничения,Пазар Ежедневно банкиране,False
каква е идеята на разчетната сметка,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,257ea045-5b35-4eeb-a687-93ca087a00f3,каква е идеята на разчетната сметка,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False
как се закрива наследствен влог през пасива,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,a7d000c6-1cee-4649-879b-0b7d3106750a,как се закрива наследствен влог през пасива,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False
все още не виждам приложение 2?,Други,38a739e1-8e8b-416b-894d-a2cf1db35049,Все още не виждам приложение 2?,Други,False
ако е напарвена покупка на 26 число до кога ще бъде гратисния период?,Пазар Разсрочени плащания,64ed6e1f-0da5-416b-bb62-17bffbe0c61c,Ако е напарвена покупка на 26 число до кога ще бъде гратисния период?,Пазар Разсрочени плащания,False
такса за проверка на документи на фирмен клиент,Пазар Малък бизнес,7ddbc2a3-e1a0-45c2-a4bc-958129ca8c50,такса за проверка на документи на фирмен клиент,Пазар Малък бизнес,False
какво е дебитна карта,Пазар Ежедневно банкиране,4ac9149e-e68e-4c59-b599-a6aaad95f098,какво е дебитна карта,Пазар Ежедневно банкиране,False
с кого да се свържа в отдел пипфт,Други,5bd2d60c-2182-4884-adc0-a47d9f843822,с кого да се свържа в отдел ПИПФТ ,Други,False
как да активирам дск мобайл,Пазар Ежедневно банкиране,341534c5-2130-422b-bf00-7010aa09ed94,Как да активирам дск мобайл,Пазар Ежедневно банкиране,False
през дск директ,Пазар Ежедневно банкиране,31cb886b-b458-4fda-9e63-f817e97fe155,през дск директ ,Пазар Ежедневно банкиране,False
минимален доход за кандидатстване за жилищен кредит,Пазар Жилищни и ипотечни кредити,07e380c0-5d52-4471-84e1-1c56af51337f,минимален доход за кандидатстване за жилищен кредит ,Пазар Жилищни и ипотечни кредити,False
по потребителски кредит дължи ли се,Пазар Потребителско кредитиране,5e0b74d9-20ed-4f78-aa6b-1f3bd39c5082,по потребителски кредит дължи ли се,Пазар Потребителско кредитиране,False
не ме ли разбирате? в спестовната част наличността ми винаги е по-голяма от размера на овърдрафта,Пазар Потребителско кредитиране,761f8413-a2b0-4469-9a72-e5a467541cf7,Не ме ли разбирате? В спестовната част наличността ми винаги е по-голяма от размера на овърдрафта,Пазар Потребителско кредитиране,False
има ли такса при закриване на набирателна сметка,Пазар Малък бизнес,3cab5270-e02e-4346-bc47-7dca3e1acb1e,Има ли такса при закриване на набирателна сметка,Пазар Малък бизнес,False
кредит усвоен през дск смарт задължително ли е да ползва план без ограничение?,Пазар Ежедневно банкиране,0cceaba1-fcf6-4ec4-a751-c01dab925ceb,Кредит усвоен през ДСК Смарт задължително ли е да ползва план без ограничение?,Пазар Ежедневно банкиране,False
какви са стъпиките за прекратяване на план на сметка на клиент,Пазар Ежедневно банкиране,72e64102-6b1b-411c-acac-9007cd813e1d,Какви са стъпиките за прекратяване на план на сметка на клиент,Пазар Ежедневно банкиране,False
а такса за откриване,Пазар Ежедневно банкиране,18e270c7-a8da-4846-80b3-2b2a023fd546,а такса за откриване ,Пазар Ежедневно банкиране,False
за потребителски кредит за пенсионери: диапазон на дохода (лева) >=450 лв. съотношение дълг/доход dti 80% остатъчен доход не се прилага при искания с кредитоискатели пенсионери,Пазар Потребителско кредитиране,7cdfaabd-dd90-4764-8d2f-779aebf07d67,"за потребителски кредит за пенсионери:

диапазон на дохода (лева) >=450 лв.

съотношение дълг/доход DTI 80%

остатъчен доход не се прилага при искания с кредитоискатели пенсионери",Пазар Потребителско кредитиране,False
колко е таксата за оценка на обезпечение къща?,Пазар Жилищни и ипотечни кредити,f8ad7251-25cb-43a0-b7b6-f32147021cac,Колко е таксата за оценка на обезпечение къща?,Пазар Жилищни и ипотечни кредити,False
закриване на сметка,Пазар Ежедневно банкиране,b303d9c5-3813-49af-8a30-f2ad04c06293,закриване на сметка,Пазар Ежедневно банкиране,False
събира ли се такса за трансфер от рс към рс обслужваща кк на гише в банката,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,98c2438f-18bd-4b84-948b-b76065b52cd8,Събира ли се такса за трансфер от РС към РС обслужваща КК на гише в банката,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,False
бланка за валутен превод,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,1c2d9e93-7e40-4bd7-8202-2d3a9df722c0,бланка за валутен превод,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False
заявление за заличаване на ипотека,Пазар Жилищни и ипотечни кредити,83bff6c7-4f34-4458-85e9-73b5d17088d9,заявление за заличаване на ипотека,Пазар Жилищни и ипотечни кредити,False
колко е необходимото време за закриване на наследствен влог,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,adcbe196-1674-40d2-9399-7a5a28f8cd6a,Колко е необходимото време за закриване на наследствен влог,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False
има ли такса за предсрочно погасяване на потребителски кредит,Пазар Потребителско кредитиране,cc24766e-b631-4ab2-8b8f-6b18186ac1ae,Има ли такса за предсрочно погасяване на потребителски кредит,Пазар Потребителско кредитиране,False
dsk maxi go дебитна ли е,Пазар Ежедневно банкиране,54853f49-b193-4dc0-8e40-378587d1fe6b,DSk maxi go дебитна ли е,Пазар Ежедневно банкиране,False
план за пенсия,Пазар Ежедневно банкиране,de6d011f-8153-4cdb-ac46-d1aeaf27856f,план за пенсия ,Пазар Ежедневно банкиране,False
каква е таксата за превод към америка,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,08cc855d-98dc-447b-8178-414fc8bf479b,каква е таксата за превод към америка,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False
какви са разликите между дск мобайл и дск смарт,Пазар Ежедневно банкиране,9602caf0-0b80-484a-acbd-a7ac1d1b537b,Какви са разликите между дск мобайл и дск смарт,Пазар Ежедневно банкиране,False
"мога ли да изтегля получени дивиденти, ако не съм клиент на банката",Други,3ad3637f-9c1a-412a-b443-0450a7d303d1,"мога ли да изтегля получени  дивиденти, ако не съм клиент на банката",Други,False
ккаво представлява кредитната карта дск wizz air,Пазар Разсрочени плащания,a4ba8b92-0cdb-43ef-92af-43cd19b35450,Ккаво представлява кредитната карта ДСК Wizz Air,Пазар Разсрочени плащания,False
заявка за санитарни консумативи,Други,77f20432-cf20-4f0d-8f82-74f85621e91d,заявка за санитарни консумативи,Други,False
клиент на банка дск с рс има ли такса при вноска и теглене на гише?,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,3aa09749-43d9-4c15-a67b-7dae9c065aec,Клиент на банка ДСК с РС има ли такса при вноска и теглене на гише?,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,False
анализ на доход от дивиденти,ДИРЕКЦИЯ КРЕДИТЕН РИСК ИНДИВИДУАЛНИ КЛИЕНТИ,638e00d1-6ccf-4019-9c4d-4b5c8632d28c,анализ на доход от дивиденти,ДИРЕКЦИЯ КРЕДИТЕН РИСК ИНДИВИДУАЛНИ КЛИЕНТИ,False
какво е airport security fast track:,Пазар Разсрочени плащания,44422150-6dea-454d-93c1-0fc03551d071,Какво е Airport Security Fast Track:,Пазар Разсрочени плащания,False
кога се прилага буфер и в какъв размер,Няколко пазара,b268a343-fc61-4003-ad58-e1b0d6b4bdd4,кога се прилага буфер и  в какъв размер,Няколко пазара,False
като служител имам ли такса за вноска по лична сметка,Пазар Ежедневно банкиране,98dacf03-f98a-43d7-ab3d-a08c7ca783d1,като служител имам ли такса за вноска по лична сметка,Пазар Ежедневно банкиране,False
трезор,Пазар Ежедневно банкиране,2806152a-1214-413f-b2a0-ebde9616609c,трезор,Пазар Ежедневно банкиране,True
какво включва асистиран процес в офис на банката за регистрация на бизнес клиенти ?,Пазар Малък бизнес,b19a7166-f38c-4bd8-8290-6ea50703084b,какво включва асистиран процес в офис на банката за регистрация на бизнес клиенти ?,Пазар Малък бизнес,False
"клиент е закупил със собствени средства недвижим имот магазин в гр. софия за сумата 155 000евро. клиентът се интересува от ипотечен кредит за възстановяване на средствата за направената покупка, като за обезпечване на кредита предлага своя жилищен имот в гр. софия, представляващ завършен апартамент. мога ли да предложа на клиента целеви ипотечен кредит за възстановяване на средствата от направената покупка 155 000евро - 10% = 139 500евро с достатъчност на обезпечение жилищен им",Пазар Жилищни и ипотечни кредити,511e4938-a9e8-4565-bb97-d0f287e7d3bd,"Клиент е закупил със собствени средства недвижим имот Магазин в гр. София за сумата 155 000евро. Клиентът се интересува от ипотечен кредит за възстановяване на средствата за направената покупка, като за обезпечване на кредита предлага своя жилищен имот в гр. София, представляващ завършен апартамент. Мога ли да предложа на клиента целеви ипотечен кредит за възстановяване на средствата от направената покупка 155 000евро - 10% = 139 500евро с достатъчност на обезпечение жилищен им",Пазар Жилищни и ипотечни кредити,False
"от кога влизат в сила безплатните картови операции вкючени в план без ограничение и план премиум, от следващият работен ден на",Пазар Ежедневно банкиране,3225bf37-328c-4bd0-b666-b04ce907c2f2,"от кога влизат в сила безплатните картови операции вкючени в план без ограничение и план премиум, от следващият работен ден на",Пазар Ежедневно банкиране,False
как се верифицират контактни данни при дигитален онбординг или регистрация в dsk mobile,Пазар Ежедневно банкиране,1ee7380a-a8a9-49ce-8f63-3988304072bc,как се верифицират контактни данни при дигитален онбординг или регистрация в DSK Mobile,Пазар Ежедневно банкиране,False
какви документи банката приема за удостоверяващи икономическа връзка със страната при чуждестнанни граждани,Пазар Ежедневно банкиране,86f8a548-30e0-41d8-92ca-4640b64ce1f2,какви документи банката приема за удостоверяващи икономическа връзка със страната при чуждестнанни граждани ,Пазар Ежедневно банкиране,False
каква е минималната лихва при кк,Пазар Разсрочени плащания,f46d33ce-1a06-4447-b694-2fdf7727ed69,каква е минималната лихва при кк,Пазар Разсрочени плащания,False
каква е цената на план за младежи,Пазар Ежедневно банкиране,9a123fc1-28bd-428d-8ad3-fd05a575f52b,каква е цената на план за младежи,Пазар Ежедневно банкиране,False
за кои валутни преводи през дск мобайл може да се изиска преференциален курс,Пазар Ежедневно банкиране,f7a852c0-25a5-47da-bc13-5772920dc56b,за кои валутни преводи през дск мобайл може да се изиска преференциален курс ,Пазар Ежедневно банкиране,False
на падежна дата може ли да се погасява изцяло кредит ?,Няколко пазара,18838f1f-5b1b-4a60-9f12-3f826a9a9431,На падежна дата може ли да се погасява изцяло кредит ?,Няколко пазара,False
колко е таксата за вноска по бюджетна сметка,Пазар Ежедневно банкиране,554326cd-e95f-4980-aeec-f5c5f119a0bf,КОЛКО Е ТАКСАТА ЗА ВНОСКА ПО БЮДЖЕТНА СМЕТКА ,Пазар Ежедневно банкиране,False
"ще се начислява ли пропорционална годишна такса, при деактивиране на съществуващи кредитни карти mastercard, при миграцията към visa?",Пазар Разсрочени плащания,a7b8760f-cbbe-4000-9d60-7d01fbffe48b,"Ще се начислява ли пропорционална годишна такса, при деактивиране на съществуващи кредитни карти Mastercard, при миграцията към Visa?",Пазар Разсрочени плащания,False
с колко се сконтира доход от граждански договор,ДИРЕКЦИЯ КРЕДИТЕН РИСК ИНДИВИДУАЛНИ КЛИЕНТИ,80d46b43-96cf-46ab-8a4c-1f72c6dc9b28,С колко се сконтира доход от граждански договор,ДИРЕКЦИЯ КРЕДИТЕН РИСК ИНДИВИДУАЛНИ КЛИЕНТИ,False
младежки план,Пазар Ежедневно банкиране,751d27c9-e7e5-4e0b-b6a1-224d90195435,Младежки план,Пазар Ежедневно банкиране,False
как се открива дск старт,Пазар Ежедневно банкиране,5e60faea-0947-49f8-bd5d-2b2312f4aca1,как се открива дск старт,Пазар Ежедневно банкиране,False
колко е лимита за безплатно теглене на каса на премиум клиент?,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,7ac45af5-104c-4a19-8df0-4dc6358fc3e7,Колко е лимита за безплатно теглене на каса на премиум клиент?,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False
доходи от майчинство,ДИРЕКЦИЯ КРЕДИТЕН РИСК ИНДИВИДУАЛНИ КЛИЕНТИ,6742b71e-c2fc-46ee-ad90-6d7fd73d6a2d,Доходи от майчинство,ДИРЕКЦИЯ КРЕДИТЕН РИСК ИНДИВИДУАЛНИ КЛИЕНТИ,False
колко е паричната равностойност на 1 уиз еър точка ?,Пазар Разсрочени плащания,d62c4d9d-031b-4c5e-9e94-df7387f49337,Колко е паричната равностойност на 1 Уиз еър точка ?,Пазар Разсрочени плащания,False
даваме ли кредити за покупка на жилища на чуждестрани лица извън ес работещи в българия?,Пазар Жилищни и ипотечни кредити,25849682-1e3a-48d7-8a19-69ae8e9f7b98,Даваме ли кредити за покупка на жилища на чуждестрани лица извън ЕС работещи в България?,Пазар Жилищни и ипотечни кредити,False
а какви преференции ползва с карта world debit mastercard,Пазар Ежедневно банкиране,82fb088c-dfcf-4e73-95dd-f6f68eaf75d4,А какви преференции ползва с карта World debit mastercard,Пазар Ежедневно банкиране,False
как се оперира със замразена сметка,Други,f6699233-663f-4908-9e59-23f88fc37dc4,как се оперира със замразена сметка ,Други,False
какъв е вальора за стандартен валутен превод swift,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,e3203880-e73f-40fe-8afb-c5586fd6cb79,какъв е вальора за стандартен валутен превод SWIFT,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False
може ли в табличен вид план за пенсия?,Пазар Ежедневно банкиране,d17e4eca-061d-4f34-814f-43a815d60b79,МОЖЕ ЛИ В ТАБЛИЧЕН ВИД ПЛАН ЗА ПЕНСИЯ?,Пазар Ежедневно банкиране,False
каква е процедурата за закриване на овърдрафт,Пазар Потребителско кредитиране,9e48f092-f6ea-474b-9f81-d98a5846a2c6,каква е процедурата за закриване на овърдрафт,Пазар Потребителско кредитиране,False
с кой видове ипотечни кредити банката дава възможност на клиента да усвои кредита на етапи?,Пазар Жилищни и ипотечни кредити,959082aa-5087-4c6b-8102-07229cb5b9cd,С КОЙ ВИДОВЕ ИПОТЕЧНИ КРЕДИТИ БАНКАТА ДАВА ВЪЗМОЖНОСТ НА КЛИЕНТА ДА УСВОИ КРЕДИТА НА ЕТАПИ?,Пазар Жилищни и ипотечни кредити,False
може ли да се разреши ипотечен кредит с обезпечение къща за гости,Пазар Жилищни и ипотечни кредити,b1127d67-0dcf-46b8-b836-135ea2c1ebd6,може ли да се разреши ипотечен кредит с обезпечение къща за гости,Пазар Жилищни и ипотечни кредити,False
може ли на атм да се внася евро?,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,ae78414a-7e97-4d10-ae1c-0ca14007e51d,Може ли на АТМ да се внася евро?,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,False
искане за жилищен кредит от собственик на фирма и земеделски производител как да изчисля доход за анализ,Пазар Жилищни и ипотечни кредити,8af558c3-2816-4f7b-b486-3b39bf432124,искане за жилищен кредит от собственик на фирма и земеделски производител как да изчисля доход за анализ ,Пазар Жилищни и ипотечни кредити,False
имам проблем с активиране на дск мобайл,Пазар Ежедневно банкиране,ade9ba62-a705-4c8b-8c20-808111da4b17,Имам проблем с активиране на дск мобайл,Пазар Ежедневно банкиране,False
"възможно ли е да финансираме по облекчената процедура клиент, чиито трудов договор е бил прекратен, но е подал искане за кредитна карта",Пазар Разсрочени плащания,69a5796a-a584-492c-9af9-eacebb89db9b,"ВЪЗМОЖНО ЛИ Е ДА  ФИНАНСИРАМЕ ПО ОБЛЕКЧЕНАТА ПРОЦЕДУРА КЛИЕНТ, ЧИИТО ТРУДОВ ДОГОВОР Е БИЛ ПРЕКРАТЕН, НО Е ПОДАЛ ИСКАНЕ ЗА КРЕДИТНА КАРТА",Пазар Разсрочени плащания,False
възможно ли е в мобилното приложение dsk mobile клиент да се върне стъпка назад при подготовка за превод и да промени някои от параметрите,Пазар Ежедневно банкиране,2e19df45-2160-4382-9ad7-5016bf3b886d,ВЪЗМОЖНО ЛИ Е В МОБИЛНОТО ПРИЛОЖЕНИЕ DSK MOBILE КЛИЕНТ ДА СЕ ВЪРНЕ СТЪПКА НАЗАД ПРИ ПОДГОТОВКА ЗА ПРЕВОД И ДА ПРОМЕНИ НЯКОИ ОТ ПАРАМЕТРИТЕ,Пазар Ежедневно банкиране,False
може ли ипотеката да е за покупка на имот от съпруг на съпруга ?,Пазар Жилищни и ипотечни кредити,6c251659-7265-438f-adba-af5e982c8f5e,Може ли ипотеката да е за покупка на имот от съпруг на съпруга ?,Пазар Жилищни и ипотечни кредити,False
когато включа план за заплата от кога влизат преференциите,Пазар Ежедневно банкиране,32638e78-58bf-4604-bea5-f12b3fd09079,когато включа план за заплата от кога влизат преференциите ,Пазар Ежедневно банкиране,False
кои са необходимите документи при закриване на сметка ?,Пазар Ежедневно банкиране,7771b48e-f3e5-481d-a240-ae948dfd96d1,Кои са необходимите документи при закриване на сметка ?,Пазар Ежедневно банкиране,False
